ROM Name,Genre,Publisher
Donkey Kong Country.smc,Platformer,Rare
Dragon's Lair.smc,Platformer,CSG Imagesoft
E.V.O. - Search for Eden.smc,RPG,Enix America Corporation
Eek! The Cat.smc,Platformer,CTA
Family Dog.smc,Platformer,Unknown Publisher
Flashback - The Quest for Identity.smc,Platformer,Delphine Software
"The Flintstones - The Treasure of Sierra Madrock.smc",Platformer,Taito
"The Flintstones.sfc",Platformer,Foley Hi-Tech Systems
Frantic Flea.smc,Platformer,Unknown Publisher
"The Great Circus Mystery Starring Mickey & Minnie.smc",Platformer,Tec Toy
Hagane - The Final Conflict.smc,Platformer,Hudson Soft
Harley's Humongous Adventure.smc,Platformer,Visual Concepts
Indiana Jones' Greatest Adventures.sfc,Platformer,Factor 5
"The Itchy & Scratchy Game.smc",Platformer,Bits Studios
Izzy's Quest for the Olympic Rings.smc,Platformer,U.S. Gold
James Pond 3 - Operation Starfish.sfc,Platformer,Millennium Interactive
Jelly Boy.sfc,Platformer,Ocean Software
"The Jetsons - Invasion of the Planet Pirates.smc",Platformer,Sting Entertainment
Joe & Mac 2 - Lost in the Tropics.smc,Platformer,Elite Systems
Joe & Mac.smc,Platformer,Data East Corporation
Kendo Rage.smc,Platformer,Affect
Kid Klown in Crazy Chase.smc,Platformer,Kemco
Kirby Super Star.smc,Platformer,Nintendo
Kirby's Dream Land 3.smc,Platformer,Nintendo
Krusty's Super Fun House.sfc,Puzzle,Tec Toy
"The Legend of The Mystical Ninja.smc",Platformer,Konami
Lester the Unlikely.smc,Platformer,DTMC
"The Lost Vikings 2.smc",Platformer,Blizzard Entertainment
"The Lost Vikings.smc",Platformer,Blizzard Entertainment
Magic Boy.smc,Platformer,Empire Software
"The Magical Quest Starring Mickey Mouse.smc",Platformer,Capcom
Marvel Super Heroes - War of the Gems.smc,Platformer,Capcom
Maui Mallard in Cold Shadow.smc,Platformer,Disney Interactive
Mega-Lo-Mania.smc,Strategy,Sensible Software
Michael Jordan - Chaos in the Windy City.smc,Platformer,Electronic Arts
Mickey Mania - The Timeless Adventures of Mickey Mouse.smc,Platformer,Traveller's Tales
Mohawk & Headphone Jack.smc,Platformer,Unknown Publisher
Musya - The Classic Japanese Tale of Horror.smc,Platformer,Datam Polystar
Ninja Gaiden Trilogy.smc,Platformer,St. GIGA
Nosferatu.smc,Platformer,SETA
Oscar.smc,Platformer,Unknown Publisher
Packy and Marlon.smc,Educational,Unknown Publisher
Phantom 2040.smc,Platformer,Viacom New Media
Pink Panther in Pink Goes to Hollywood.sfc,Platformer,TecMagik Entertainment
Pinocchio.sfc,Platformer,NMS Software
Pitfall - The Mayan Adventure.smc,Platformer,Redline Games
Plok.smc,Platformer,Tradewest Inc
Pop'n TwinBee - Rainbow Bell Adventures.sfc,Platformer,Konami
Porky Pig's Haunted Holiday.smc,Platformer,Acclaim
Power Piggs of the Dark Age.smc,Platformer,Titus Software
Prehistorik Man.smc,Platformer,Titus Software
Prince of Persia 2 - The Shadow and the Flame.sfc,Platformer,Brøderbund Software
Putty Squad.smc,Platformer,System 3 Software
"The Ren & Stimpy Show - Time Warp.smc",Platformer,THQ
"The Ren & Stimpy Show - Veediots!.smc",Platformer,THQ
Road Runner's Death Valley Rally.smc,Platformer,ICOM Simulations
Rocko's Modern Life - Spunky's Dangerous Day.smc,Platformer,Viacom New Media
Rocky Rodent.smc,Platformer,Irem
Run Saber.sfc,Platformer,Atlus USA
Scooby-Doo Mystery.smc,Platformer,A2M
Skuljagger - Revolt of the Westicans.smc,Platformer,Unknown Publisher
Skyblazer.smc,Platformer,Sony Imagesoft
"The Smurfs Travel the World.sfc",Platformer,Virtual Studio
Snow White - Happily Ever After.smc,Platformer,Unknown Publisher
Sparkster.smc,Platformer,BigBeanDotGov
Speedy Gonzales - Los Gatos Bandidos.smc,Platformer,Acclaim Entertainment
Spider-Man and the X-Men - Arcade's Revenge.smc,Platformer,Software Creations Ltd.
Spirou.sfc,Platformer,Infogrames Europe
Super Adventure Island II.smc,Platformer,Hudson Soft
Super Bonk.smc,Platformer,Hudson Soft
Super Castlevania IV.smc,Platformer,Konami
Super Ghouls'n Ghosts.smc,Platformer,Playtronic
Super Mario All-Stars + Super Mario World.smc,Platformer,Nintendo EAD
Super Mario All-Stars.smc,Platformer,Nintendo EAD
Super Mario World 2 - Yoshi's Island.smc,Platformer,Nintendo
Super Mario World.smc,Platformer,Gradiente
Super Metroid.smc,Platformer,Unknown Publisher
Super Morph.sfc,Platformer,Unknown Publisher
Super Nova.sfc,Platformer,OrcaSFQera
Super Putty.smc,Platformer,U.S. Gold
Super Shadow of the Beast.smc,Platformer,IGS
Super Star Wars - Return of the Jedi.smc,Platformer,THQ
Super Star Wars - The Empire Strikes Back.smc,Platformer,THQ
Super Troll Islands.smc,Platformer,Unknown Publisher
Super Valis IV.sfc,Platformer,Edia
Super Widget.smc,Platformer,"Atlus Co., Ltd"
Timon & Pumbaa.smc,Platformer,Dragon co.
Tintin in Tibet.sfc,Platformer,Infogrames Multimedia
Tiny Toon Adventures - Buster Busts Loose!.smc,Platformer,Konami
Tom and Jerry.smc,Platformer,Morning Star Multimedia
Toy Story.smc,Platformer,Tiertex Design Studios
Troddlers.smc,Platformer,Seika Corporation
Virtual Bart.smc,Platformer,Acclaim Entertainment
Wario's Woods.smc,Puzzle,Nintendo R&D1
Warlock.smc,Platformer,Trimark Interactive
We're Back! - A Dinosaur's Story.smc,Platformer,Beam Software
Whirlo.sfc,Platformer,Namco
Whizz.smc,Platformer,Flair Software
Wolfchild.smc,Platformer,Core Design
X-Men - Mutant Apocalypse.smc,Platformer,Capcom
Ys III - Wanderers from Ys.sfc,Platformer,Nihon Telenet
Zero the Kamikaze Squirrel.sfc,Platformer,SUNSOFT
Disney's Aladdin.smc,Platformer,Tiger Electronics
Disney's The Lion King.smc,Platformer,Tiger Electronics
"The Addams Family - Pugsley's Scavenger Hunt.smc",Platformer,Enigma Variations
"The Addams Family.smc",Platformer,Tiger Electronics
"The Adventures of Kid Kleets.sfc",Platformer,Unknown Publisher
"The Adventures of Rocky and Bullwinkle and Friends.smc",Platformer,Imagineering Inc.
"The Adventures of Tintin - Prisoners of the Sun.sfc",Platformer,Infogrames
Alfred Chicken.smc,Platformer,Twilight
All-American Championship Football.sfc,Sports,Unknown Publisher
American Gladiators.smc,Action,Tiger Electronics
"An American Tail - Fievel Goes West.smc",Platformer,Tiger Electronics
Arcade's Greatest Hits - The Atari Collection 1.smc,Arcade,Unknown Publisher
Bassin's Black Bass with Hank Parker.smc,Sports,Unknown Publisher
Batman Forever.smc,Action,Tiger Electronics
Battle Clash.sfc,Shooter,Unknown Publisher
Battletoads & Double Dragon - The Ultimate Team.smc,Beat em up,Unknown Publisher
Beethoven's 2nd.smc,Platformer,Hi-Tech Expressions
"The Blues Brothers.sfc",Platformer,Titus Software
Casper.smc,Platformer,Tiger Electronics
Cliffhanger.smc,Action,Sony Imagesoft
Cool World.smc,Platformer,Ocean
DinoCity.smc,Platformer,Unknown Publisher
Disney's Goof Troop.smc,Action,Tiger Electronics
Firestriker.smc,Action,Unknown Publisher
"The Great Waldo Search.smc",Puzzle,THQ
Hebereke's Popoitto.sfc,Puzzle,Unknown Publisher
Home Alone 2 - Lost in New York.smc,Platformer,Tiger Electronics
Home Alone.smc,Platformer,Sega
Home Improvement.smc,Platformer,Unknown Publisher
Hook.smc,Platformer,Tiger Electronics
Hyper V-Ball.smc,Sports,Unknown Publisher
"The Incredible Crash Dummies.sfc",Platformer,Tiger Electronics
"The Incredible Hulk.smc",Action,Parker Brothers
Inspector Gadget.smc,Platformer,Tiger Electronics
Jeopardy!.sfc,Trivia,North American Philips Consumer Electronics Corp.
Jim Lee's WildC.A.T.S - Covert Action Teams.sfc,Action,Unknown Publisher
Jim Power - The Lost Dimension in 3-D.smc,Platformer,Unknown Publisher
Judge Dredd.smc,Action,Acclaim Entertainment
Jurassic Park.smc,Action,Unknown Publisher
Last Action Hero.sfc,Action,Bits Studios
"The Lawnmower Man.sfc",Action,THQ
Lock On.smc,Shooter,Unknown Publisher
Lucky Luke.sfc,Platformer,Infogrames
Marko's Magic Football.sfc,Platformer,Unknown Publisher
Math Blaster - Episode 1.smc,Educational,Unknown Publisher
Mickey's Ultimate Challenge.smc,Puzzle,Disney Interactive Studios
Mighty Max.smc,Platformer,Systema
Mighty Morphin Power Rangers.smc,Action,Unknown Publisher
Mr. Nutz.smc,Platformer,Planet Interactive
Newman-Haas IndyCar featuring Nigel Mansell.smc,Racing,Unknown Publisher
Nigel Mansell's World Championship Racing.smc,Racing,Unknown Publisher
"The Ninja Warriors.sfc",Beat em up,Unknown Publisher
Nobunaga's Ambition - Lord of Darkness.smc,Strategy,Unknown Publisher
Out to Lunch.smc,Puzzle,Mark Wonnacott
P.T.O. - Pacific Theater of Operations II.smc,Strategy,Unknown Publisher
"The Pagemaster.sfc",Platformer,Tiger Electronics
Parodius - Non-Sense Fantasy.smc,Shooter,Unknown Publisher
Phalanx - The Enforce Fighter A-144.smc,Shooter,Unknown Publisher
"The Pirates of Dark Water.sfc",Action,Systema
Power Moves.smc,Fighting,Unknown Publisher
Prince of Persia.sfc,Platformer,Unknown Publisher
Push-Over.smc,Puzzle,Unknown Publisher
Q-bert 3.sfc,Puzzle,Unknown Publisher
Radical Rex.smc,Platformer,Unknown Publisher
"The Ren & Stimpy Show Part II - Fire Dogs.smc",Platformer,Unknown Publisher
"The Ren & Stimpy Show - Buckeroo$.smc",Platformer,Unknown Publisher
Rise of the Phoenix.smc,Action,Unknown Publisher
RoboCop 3.smc,Action,Tiger Electronics
SimAnt - The Electronic Ant Colony.smc,Simulation,Unknown Publisher
SmartBall.smc,Platformer,Unknown Publisher
"The Smurfs.sfc",Platformer,Unknown Publisher
Spanky's Quest.smc,Platformer,Natsume Inc.
Spider-Man - The Animated Series.sfc,Action,Unknown Publisher
"The Sporting News - Power Baseball.smc",Sports,Unknown Publisher
Sports Illustrated - Championship Football & Baseball.smc,Sports,Black Pearl Software
Star Trek - The Next Generation - Future's Past.smc,Action,Unknown Publisher
Steel Talons.smc,Action,Unknown Publisher
"The Super Aquatic Games Starring the Aquabats.smc",Sports,Unknown Publisher
Super Baseball 2020.smc,Sports,Unknown Publisher
Super James Pond.smc,Platformer,Unknown Publisher
Super Slap Shot.smc,Sports,Unknown Publisher
Taz-Mania.smc,Platformer,Tiger Electronics
Terminator 2 - Judgment Day.smc,Action,Playtronic
Tetris 2.sfc,Puzzle,Bullet-Proof Software
Time Slip.smc,Action,Mike Goatly
Toys - Let the Toy Wars Begin!.smc,Action,Unknown Publisher
True Lies.smc,Action,Unknown Publisher
Turbo Toons.sfc,Action,Unknown Publisher
Waterworld.sfc,Action,Ocean Software
Wheel of Fortune Deluxe!.smc,Trivia,Tiger Electronics
Winter Olympic Games - Lillehammer '94.smc,Sports,Unknown Publisher
"The Wizard of Oz.smc",Platformer,Unknown Publisher
WWF Royal Rumble.smc,Sports,Acclaim
Yogi Bear.smc,Platformer,1st Playable Productions
Zool - Ninja of the ''Nth'' Dimension.smc,Platformer,Unknown Publisher
Arkanoid - Doh it Again.smc,Puzzle,Nintendo
Barkley Shut Up and Jam!.smc,Sports,Unknown Publisher
Brain Lord.smc,RPG,Produce
"The Brainies.sfc",Puzzle,Brutal Deluxe Software
Cacoma Knight in Bizyland.smc,Puzzle,Unknown Publisher
Clue.smc,Puzzle,Marmalade Game Studio
Dream TV.smc,Puzzle,Bits Studios
Dungeon Master.smc,RPG,Victor Entertainment
Frogger.sfc,Puzzle,Hasbro Interactive
Hebereke's Popoon.sfc,Puzzle,SUNSOFT
Hungry Dinosaurs.sfc,Puzzle,Unknown Publisher
Jeopardy! Sports Edition.smc,Trivia,Park Place Productions
King Arthur's World.sfc,Strategy,Unknown Publisher
Kirby's Avalanche.sfc,Puzzle,Playtronic
Kirby's Dream Course.smc,Puzzle,Nintendo
Lemmings 2 - The Tribes.smc,Puzzle,DMA Design
Lemmings.sfc,Puzzle,Distinctive Developments
Lufia & The Fortress of Doom.smc,RPG,Taito
Lufia II - Rise of the Sinistrals.smc,RPG,Neverland
Mario is Missing!.sfc,Puzzle,The Software Toolworks
Mario's Early Years! - Fun with Letters.sfc,Educational,The Software Toolworks
Mario's Early Years! - Fun with Numbers.sfc,Educational,The Software Toolworks
Mario's Early Years! - Preschool Fun.sfc,Educational,The Software Toolworks
Mario's Time Machine.sfc,Educational,The Software Toolworks
Mr. Do!.smc,Puzzle,Bandai Namco Entertainment
No Escape.smc,Action,Unknown Publisher
Pac-Man 2 - The New Adventures.smc,Puzzle,Namco
Pieces.smc,Puzzle,Unknown Publisher
Rampart.smc,Strategy,Bitmasters
Shanghai II - Dragon's Eye.smc,Puzzle,Activision
Spindizzy Worlds.smc,Puzzle,Unknown Publisher
Super Bomberman 2.smc,Puzzle,Konami
Super Bomberman.smc,Puzzle,Konami
Super Buster Bros..smc,Puzzle,Playtronic
Tetris & Dr. Mario.sfc,Puzzle,Nintendo
Tetris Attack.sfc,Puzzle,Nintendo
Wheel of Fortune Featuring Vanna White.smc,Trivia,"GameTek, Inc."
Where in Time is Carmen Sandiego.smc,Trivia,Konami
Wild Snake.smc,Puzzle,"Spectrum HoloByte, Inc."
Wordtris.smc,Puzzle,Alexey Pajitnov
Yoshi's Cookie.smc,Puzzle,Nintendo
Young Merlin.smc,RPG,Westwood Studios
Bust-A-Move.smc,Puzzle,JungleTac
