ROM Name,Genre,Publisher
Choplifter III.smc,Shooter,Unknown Publisher
Football Fury.smc,Sports,Sammy Studios
Genghis Khan II - Clan of the Grey Wolf.smc,Strategy,Koei Tecmo Games
HAL's Hole in One Golf.smc,Sports,HAL Laboratory
Jack Nicklaus Golf.smc,Sports,Sculptured Software
John Madden Football '93.smc,Sports,Unknown Publisher
Kevin Keegan's Player Manager.sfc,Sports,Unknown Publisher
Madden NFL '94.smc,Sports,Electronic Arts
Madden NFL '95.smc,Sports,Visual Concepts
Madden NFL '96.smc,Sports,Electronic Arts
MechWarrior.smc,Simulation,Piranha Games
Monopoly.smc,Board Game,Engine Software
NHL '94.smc,Sports,EA Canada
NHL '95.smc,Sports,EA Canada
Operation Europe - Path to Victory.smc,Strategy,Koei
Out of This World.smc,Adventure,Atari Europe
PGA Tour Golf.smc,Sports,Unknown Publisher
Pilotwings.smc,Simulation,Nintendo EAD
Pinball Dreams.sfc,Pinball,Digital Illusions CE
Roger Clemens' MVP Baseball.smc,Sports,LJN
Romance of the Three Kingdoms III - Dragon of Destiny.smc,Strategy,Koei
Romance of the Three Kingdoms IV - Wall of Fire.smc,Strategy,iNiS
SimCity 2000.smc,Simulation,Maxis
SimCity.smc,Simulation,Electronic Arts
SimEarth - The Living Planet.smc,Simulation,Maxis
Star Trek - Starfleet Academy Starship Bridge Simulator.smc,Simulation,High Voltage Software
Super Battletank - War in the Gulf.smc,Simulation,"Imagineering, Inc."
Super Battletank 2.smc,Simulation,Unknown Publisher
Super Caesars Palace.smc,Simulation,"Virgin Interactive Entertainment, Inc."
Super Conflict - The Mideast.smc,Strategy,Vic Tokai
Super International Cricket.sfc,Sports,Unknown Publisher
Theme Park.sfc,Simulation,Electronic Arts
Utopia - The Creation of a Nation.smc,Simulation,Gremlin Graphics Software Ltd.
Wing Commander.smc,Simulation,Creative Sparks
Wings 2 - Aces High.smc,Simulation,Unknown Publisher
Alien 3.sfc,Action,Acclaim Entertainment
Big Sky Trooper.smc,Action,Unknown Publisher
BreakThru!.smc,Action,The Avalon Hill Game Company
Chester Cheetah - Wild Wild Quest.smc,Platformer,Kaneko
EarthBound.smc,RPG,Xtal Soft
Incantation.smc,Adventure,SOFTSTAR Entertainment
"The Jungle Book.smc",Platformer,IBM
Magic Sword.smc,Action,NTT Solmare Corp.
Outlander.smc,Action,Unknown Publisher
Pac-in-Time.smc,Platformer,Unknown Publisher
